id,keyword,location,text,target
2668,crush,"San Diego, Texas.",Love love love do you remember your first crush ? ??,0
7721,panicking,UK,@ushiocomics I may be panicking a little I wasn't as fast submitting the form as I usually am,0
7547,outbreak,,Families to sue over Legionnaires: More than 40 families affected by the fatal outbreak of Legionnaires' disease in Edinburgh are to ...,1
10687,wreck,,I am a wreck,0
4547,emergency,,#EMERGENCY in Odai Bucharest Romania 600 Dogs Dying!They are so Hungry that they EAT EACH OTHER! http://t.co/pjigXPVPl0,1
10805,wrecked,probably not home,coleslaw #wrecked http://t.co/sijNBmCZIJ,0
2332,collapse,Fakefams,Correction: Tent Collapse Story http://t.co/S7VYGeNJuv,1
3694,destroy,SEA Server,dazzle destroy the fun ??,0
394,annihilation,"Chandler, AZ",U.S National Park Services Tonto National Forest: Stop the Annihilation of the Salt River Wild Horse... http://t.co/SB5R7ShcCJ via @Change,1
5602,flood,,"survived the plague
floated the flood
just peeked our heads above the mud
no one's immune
deafening bells
my god will we survive ourselves?",0
5627,flooding,,@SlopeOfHope Maybe the plan is to dilute until they can safely say 'We have to start charging or it's over'. Longs would come flooding in.,0
10110,upheaval,Oregon,A look at state actions a year after Ferguson's upheaval http://t.co/GZEkQWzijq,0
168,aftershock,,320 [IR] ICEMOON [AFTERSHOCK] | http://t.co/e14EPzhotH | @djicemoon | #Dubstep #TrapMusic #DnB #EDM #Dance #IcesÛ_ http://t.co/22a9D5DO6q,0
4624,emergency%20services,USA,#Breaking #News - Call for Tasmania's emergency services to be trained in horse ... - http://t.co/urJwsVr311 http://t.co/7JfrETeIi4,1
37,,,No way...I can't eat that shit,0
3068,deaths,"Atlanta, GA",Hear @DrFriedenCDC talk on how to avoid thousands of resistant infections/deaths in next 5 yrs: http://t.co/niV8x5Tbe0 #AdiosSuperBacterias,0
136,accident,Alberta | Sask. | Montana,Suffield Alberta Accident https://t.co/bPTmlF4P10,1
9174,suicide%20bomber,,#deai #??? #??? #??? Suicide bomber kills 15 in Saudi security site mosque - Reuters  http://t.co/SqydkslFzp,1
9519,terrorist,Niall's arms,@ShipsXAnchors IDEK HOW IS  THERE PEOPLE WHO ACTUALLY THINK HE'S A TERRORIST,0
9455,terrorism,Earth 0,OMEGA MEN Writer Explores Terrorism Religion In an 'Epic KYLE RAYNER Story' https://t.co/utc7pdIdfo via @Newsarama,0
